player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,Matchweek,Season
Roger Martí,9,es ESP,FW,30-007,85,0,0,0,0,0,0,0,0,30,1,0,1,0.0,0.0,0.0,0,0,17,24,70.8,4,14,1,1,1,18,2020-2021
   Toño,3,es ESP,FW,31-064,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,18,2020-2021
Dani Gómez,21,es ESP,FW,22-164,61,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,6,11,54.5,2,13,1,2,1,18,2020-2021
   Gonzalo Melero,22,es ESP,CM,27-008,29,1,0,0,0,2,1,0,0,20,0,1,1,0.5,0.5,0.0,0,0,12,16,75.0,0,7,1,0,0,18,2020-2021
José Luis Morales,11,es ESP,LM,33-171,90,1,1,0,0,1,1,1,0,38,1,0,1,0.5,0.5,0.5,3,2,16,23,69.6,2,21,1,6,3,18,2020-2021
Mickael Malsa,12,mq MTQ,CM,25-090,61,0,0,0,0,0,0,1,0,37,1,1,0,0.0,0.0,0.0,0,0,19,32,59.4,0,14,0,2,1,18,2020-2021
   Sergio León,7,es ESP,FW,32-004,29,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,2,1,5,6,83.3,1,3,0,0,0,18,2020-2021
Nemanja Radoja,5,rs SRB,CM,27-339,90,0,0,0,0,0,0,0,0,55,0,3,1,0.0,0.0,0.0,0,0,30,48,62.5,3,23,0,0,0,18,2020-2021
Jorge de Frutos,18,es ESP,RM,23-325,85,0,1,0,0,1,0,0,0,34,1,0,1,0.0,0.0,0.5,1,1,13,27,48.1,2,19,4,3,1,18,2020-2021
   Son,2,es ESP,RM,26-286,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,1,0,0,0,18,2020-2021
Carlos Clerc,19,es ESP,LB,28-324,90,0,0,0,0,0,0,0,0,69,3,2,0,0.0,0.0,0.0,0,0,36,58,62.1,3,30,0,2,2,18,2020-2021
Sergio Postigo,15,es ESP,CB,32-067,79,0,0,0,0,0,0,0,0,57,2,1,1,0.0,0.0,0.0,0,0,36,47,76.6,1,30,0,0,0,18,2020-2021
   Coke,23,es ESP,CB,33-259,11,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.0,0,0,2,4,50.0,0,0,0,0,0,18,2020-2021
Óscar Duarte,6,cr CRC,CB,31-221,90,0,0,0,0,0,0,0,0,72,2,4,1,0.0,0.0,0.0,0,0,49,59,83.1,0,37,0,0,0,18,2020-2021
Jorge Miramón,20,es ESP,RB,31-222,90,0,0,0,0,0,0,0,0,66,4,1,3,0.0,0.0,0.0,0,0,44,53,83.0,4,26,3,0,0,18,2020-2021
Aitor Fernández,13,es ESP,GK,29-252,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,36,47,76.6,0,20,0,0,0,18,2020-2021
Sergi Enrich,9,es ESP,FW,30-319,72,0,0,0,0,2,0,0,0,34,2,0,2,0.1,0.1,0.1,2,0,17,21,81.0,4,15,1,2,0,18,2020-2021
   Yoshinori Mutō,12,jp JPN,FW,28-179,18,0,0,0,0,1,1,0,0,2,0,0,0,0.1,0.1,0.0,1,0,1,1,100.0,0,1,1,0,0,18,2020-2021
Kiké,17,es ESP,FW,31-046,90,0,1,0,0,0,0,0,0,41,2,0,0,0.0,0.0,0.3,3,1,21,31,67.7,1,20,0,0,0,18,2020-2021
Takashi Inui,14,jp JPN,LM,32-222,88,1,0,0,0,5,2,0,0,39,1,0,1,0.5,0.5,0.0,1,0,15,21,71.4,1,23,2,8,1,18,2020-2021
   Quique,7,es ESP,LM,30-239,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,18,2020-2021
Edu Expósito,10,es ESP,CM,24-162,88,0,0,0,0,2,1,0,0,61,1,3,1,0.1,0.1,0.3,6,0,40,53,75.5,7,31,0,0,0,18,2020-2021
   Recio,18,es ESP,CM,29-365,2,0,0,0,0,2,0,0,0,6,0,0,0,0.1,0.1,0.0,1,0,2,2,100.0,0,3,0,0,0,18,2020-2021
Papakouli Diop,8,sn SEN,CM,34-297,90,0,0,0,0,1,0,0,0,44,0,1,1,0.1,0.1,0.0,2,0,31,37,83.8,8,22,1,0,0,18,2020-2021
Alejandro Pozo Pozo,22,es ESP,RM,21-323,82,0,0,0,0,0,0,0,0,38,4,0,1,0.0,0.0,0.0,2,0,16,28,57.1,0,23,0,2,1,18,2020-2021
