Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Matchweek,Season
Aimar Oroz,29,es ESP,FW,20-258,80,1,0,1,1,0,0,0,0,27,1,1,1,0.8,0.0,0.0,6,2,22,22,100.0,2,19,0,0,0,1,2022-2023
   Pablo Ibáñez,19,es ESP,CM,23-326,10,0,0,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.0,1,0,2,4,50.0,1,4,0,0,0,1,2022-2023
Ezequiel Ávila,9,ar ARG,FW,28-187,80,1,0,0,0,6,1,1,0,21,0,0,0,0.5,0.5,0.0,2,0,5,9,55.6,2,18,0,3,2,1,2022-2023
   Kiké,18,es ESP,FW,32-260,10,0,0,0,0,1,1,0,0,8,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,4,1,1,1,1,2022-2023
Moi Gómez,16,es ESP,"LM,RM",28-050,90,0,0,0,0,2,1,1,0,45,0,2,0,0.1,0.1,0.1,4,0,22,38,57.9,3,28,2,1,0,1,2022-2023
Lucas Torró,6,es ESP,"CM,DM",28-024,90,0,0,0,0,1,1,0,0,24,2,0,0,0.0,0.0,0.0,2,0,16,20,80.0,2,11,0,1,0,1,2022-2023
Jon Moncayola,7,es ESP,CM,24-091,90,0,0,0,0,1,0,0,0,39,2,0,0,0.0,0.0,0.0,1,1,28,34,82.4,6,18,0,0,0,1,2022-2023
Kike Barja,11,es ESP,RM,25-133,55,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.3,2,0,7,12,58.3,1,11,1,3,0,1,2022-2023
   Nacho Vidal,2,es ESP,RB,27-200,35,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,0,0,9,16,56.3,0,3,1,0,0,1,2022-2023
Juan Cruz Armada,3,es ESP,"LB,CB",30-015,90,0,0,0,0,0,0,0,0,36,1,0,1,0.0,0.0,0.0,0,0,20,26,76.9,2,11,0,0,0,1,2022-2023
David García,5,es ESP,CB,28-179,90,0,0,0,0,0,0,1,0,44,2,2,1,0.0,0.0,0.0,1,0,24,32,75.0,2,22,0,0,0,1,2022-2023
Unai García,4,es ESP,CB,30-190,78,0,0,0,0,0,0,1,0,36,0,0,1,0.0,0.0,0.0,0,0,29,31,93.5,3,14,0,0,0,1,2022-2023
   Manu Sánchez,20,es ESP,"LB,CB",21-353,12,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,1,0,1,2022-2023
Rubén Peña,15,es ESP,"RB,RM",31-025,61,0,1,0,0,0,0,0,0,28,0,0,1,0.0,0.0,0.1,1,1,14,20,70.0,1,14,3,0,0,1,2022-2023
   Darko Brašanac,8,rs SRB,LM,30-181,29,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,4,6,66.7,0,3,0,2,0,1,2022-2023
Sergio Herrera,1,es ESP,GK,29-068,90,0,0,0,0,0,0,1,0,34,0,0,0,0.0,0.0,0.0,0,0,20,32,62.5,0,27,0,0,0,1,2022-2023
Aimar Oroz,29,es ESP,FW,20-258,80,1,0,1,1,0,0,0,0,27,1,1,1,0.8,0.0,0.0,6,2,22,22,100.0,2,19,0,0,0,1,2022-2023
   Pablo Ibáñez,19,es ESP,CM,23-326,10,0,0,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.0,1,0,2,4,50.0,1,4,0,0,0,1,2022-2023
Ezequiel Ávila,9,ar ARG,FW,28-187,80,1,0,0,0,6,1,1,0,21,0,0,0,0.5,0.5,0.0,2,0,5,9,55.6,2,18,0,3,2,1,2022-2023
   Kiké,18,es ESP,FW,32-260,10,0,0,0,0,1,1,0,0,8,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,4,1,1,1,1,2022-2023
Moi Gómez,16,es ESP,"LM,RM",28-050,90,0,0,0,0,2,1,1,0,45,0,2,0,0.1,0.1,0.1,4,0,22,38,57.9,3,28,2,1,0,1,2022-2023
