Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Matchweek,Season
Iñaki Williams,9,gh GHA,"FW,RW",28-107,90,1,1,0,0,5,1,0,0,38,0,0,0,0.3,0.3,0.1,5,2,21,28,75.0,2,21,5,3,2,7,2022-2023
Álex Berenguer,7,es ESP,LW,27-088,78,0,0,0,0,2,0,0,0,38,1,0,1,0.1,0.1,0.0,1,0,16,24,66.7,2,22,2,2,0,7,2022-2023
   Mikel Vesga,6,es ESP,"CM,LM",29-132,12,1,0,1,1,0,0,0,0,12,0,1,0,0.8,0.0,0.0,1,1,9,10,90.0,1,5,0,0,0,7,2022-2023
Nico Williams,11,es ESP,"RW,LW",20-080,90,1,1,0,0,2,1,0,0,39,0,0,2,0.1,0.1,0.3,3,2,15,25,60.0,2,23,2,6,2,7,2022-2023
Iker Muniain,10,es ESP,AM,29-285,78,0,0,0,0,1,0,0,0,69,1,1,0,0.1,0.1,0.3,5,1,52,63,82.5,10,49,2,2,0,7,2022-2023
   Asier Villalibre,20,es ESP,FW,25-000,12,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,7,2022-2023
Dani García,14,es ESP,"DM,CM",32-129,83,0,0,0,0,1,0,0,0,56,4,0,0,0.0,0.0,0.0,0,0,47,50,94.0,5,27,1,0,0,7,2022-2023
   Oier Zarraga,19,es ESP,LM,23-269,7,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,2,0,0,0,7,2022-2023
Oihan Sancet,8,es ESP,DM,22-158,71,1,0,0,0,2,1,0,0,41,1,0,0,0.3,0.3,0.1,4,0,32,34,94.1,6,27,4,3,2,7,2022-2023
   Ander Herrera,23,es ESP,"RM,DM",33-047,19,0,0,0,0,0,0,0,0,16,0,1,0,0.0,0.0,0.0,0,0,13,14,92.9,2,11,1,1,0,7,2022-2023
Iñigo Lekue,15,es ESP,LB,29-149,90,0,0,0,0,0,0,0,0,76,1,1,2,0.0,0.0,0.0,1,0,57,68,83.8,5,47,2,0,0,7,2022-2023
