player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,Matchweek,Season
Luis Javier Suárez,16,co COL,FW,25-151,90,0,0,0,0,2,0,0,0,39,0,1,1,0.1,0.1,0.6,2,0,16,21,76.2,1,24,0,2,1,33,2022-2023
Adri Embarba,10,es ESP,LW,30-360,76,1,0,0,0,3,2,0,0,32,0,0,1,0.2,0.2,0.1,3,2,13,19,68.4,2,23,3,8,5,33,2022-2023
   Largie Ramazani,7,be BEL,"LW,RB",22-064,14,0,0,0,0,0,0,0,0,8,1,1,0,0.0,0.0,0.0,0,0,3,5,60.0,0,6,1,0,0,33,2022-2023
Léo Baptistão,12,br BRA,RW,30-249,68,1,0,0,0,2,1,0,0,40,1,0,1,1.1,1.1,0.0,2,0,12,23,52.2,0,24,1,3,1,33,2022-2023
   Juan Brandáriz,21,es ESP,"RW,RB",24-061,22,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,14,16,87.5,0,6,0,0,0,33,2022-2023
Gonzalo Melero,3,es ESP,LM,29-120,83,0,0,0,0,1,1,0,0,46,0,0,1,0.0,0.0,0.0,3,0,33,37,89.2,7,30,1,4,3,33,2022-2023
   Íñigo Eguaras,4,es ESP,LM,31-056,7,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0,33,2022-2023
César de la Hoz,6,es ESP,CM,31-033,90,0,0,0,0,0,0,1,0,42,5,1,1,0.0,0.0,0.0,1,0,25,30,83.3,3,10,0,0,0,33,2022-2023
Lucas Robertone,5,ar ARG,RM,26-045,83,0,0,0,0,0,0,0,0,47,1,0,0,0.0,0.0,0.1,2,0,31,39,79.5,3,24,1,1,1,33,2022-2023
   Samu Costa,23,pt POR,RM,22-156,7,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,3,0,1,0,33,2022-2023
Álex Centelles,20,es ESP,LB,25-175,90,0,0,0,0,1,0,0,0,47,2,2,1,0.2,0.2,0.0,0,0,29,36,80.6,2,24,1,2,0,33,2022-2023
