Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Matchweek,Season
Borja Iglesias,9,es ESP,FW,28-215,68,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,11,14,78.6,0,9,0,2,0,2,2021-2022
   William Carvalho,14,pt POR,DM,29-135,22,0,0,0,0,0,0,0,0,36,1,0,0,0.0,0.0,0.0,2,0,31,34,91.2,5,23,2,0,0,2,2021-2022
Juanmi,7,es ESP,"LW,FW",28-092,86,1,0,0,0,2,2,0,0,34,1,0,0,0.5,0.5,0.0,2,0,20,23,87.0,2,23,2,3,3,2,2021-2022
   Loren Morón,16,es ESP,FW,27-233,4,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,2,2021-2022
Rodri,28,es ESP,RW,21-096,68,0,0,0,0,1,1,0,0,60,1,0,1,0.0,0.0,0.0,2,0,38,52,73.1,7,45,5,7,5,2,2021-2022
   Aitor Ruibal,24,es ESP,RB,25-151,22,0,0,0,0,0,0,1,0,14,1,0,0,0.0,0.0,0.0,1,0,10,11,90.9,1,10,0,0,0,2,2021-2022
Nabil Fekir,8,fr FRA,"AM,LW",28-033,90,0,0,0,0,3,2,0,0,77,1,0,0,0.1,0.1,0.1,9,0,48,57,84.2,6,50,9,14,7,2,2021-2022
Sergio Canales,10,es ESP,"DM,AM",30-185,90,0,0,0,0,5,1,0,0,113,0,1,2,0.3,0.3,0.0,4,0,89,100,89.0,14,87,6,5,2,2,2021-2022
Andrés Guardado,18,mx MEX,DM,34-326,81,0,0,0,0,1,0,0,0,86,0,0,1,0.0,0.0,0.0,2,0,78,82,95.1,14,73,3,0,0,2,2021-2022
   Cristian Tello,11,es ESP,DM,30-009,9,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,0,7,0,0,0,2,2021-2022
