player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,Matchweek,Season
Ante Budimir,22,hr CRO,FW,28-053,74,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,1,0,6,11,54.5,1,9,0,0,0,4,2019-2020
   Abdón Prats,9,es ESP,FW,26-280,16,0,0,0,1,0,0,1,0,2,0,0,0,0.8,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,4,2019-2020
Aleix Febas,23,es ESP,FW,23-223,83,0,0,0,0,0,0,0,0,37,0,0,2,0.0,0.0,0.4,5,0,21,26,80.8,5,24,4,4,3,4,2019-2020
   Álex Alegría,10,es ESP,FW,26-338,7,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,0,0,4,2019-2020
Lago Junior,11,ci CIV,LM,28-256,90,0,0,0,0,1,0,0,0,49,0,0,0,0.4,0.4,0.2,3,0,22,30,73.3,2,33,4,5,2,4,2019-2020
Salva Sevilla,8,es ESP,CM,35-179,90,0,0,0,0,2,1,1,0,60,0,0,0,0.1,0.1,0.3,4,0,47,56,83.9,10,26,0,0,0,4,2019-2020
Iddrisu Baba,12,gh GHA,CM,23-234,90,0,0,0,0,1,0,0,0,49,0,0,0,0.2,0.2,0.0,3,0,28,37,75.7,4,29,1,1,1,4,2019-2020
Dani Rodríguez,14,es ESP,RM,31-099,62,0,0,0,0,2,0,1,0,26,1,0,0,0.1,0.1,0.0,1,0,17,17,100.0,4,18,3,3,2,4,2019-2020
   Takefusa Kubo,26,jp JPN,RM,18-101,28,0,0,0,0,0,0,0,0,8,0,1,0,0.0,0.0,0.0,1,0,1,8,12.5,0,7,2,0,0,4,2019-2020
Baba Rahman,18,gh GHA,LB,25-073,90,0,0,0,0,1,0,1,0,63,2,1,1,0.1,0.1,0.0,0,0,34,52,65.4,5,24,4,1,0,4,2019-2020
Antonio Raillo,21,es ESP,CB,27-340,90,0,0,0,0,1,0,0,0,32,1,0,0,0.1,0.1,0.0,0,0,19,26,73.1,1,11,0,0,0,4,2019-2020
Martin Valjent,24,sk SVK,CB,23-276,90,0,0,0,0,0,0,0,0,34,3,0,0,0.0,0.0,0.0,0,0,22,27,81.5,2,14,0,0,0,4,2019-2020
Joan Sastre Vanrell,2,es ESP,RB,22-136,90,0,0,0,0,1,0,0,0,53,1,0,1,0.0,0.0,0.0,0,0,26,43,60.5,6,21,2,1,0,4,2019-2020
Manolo Reina,1,es ESP,GK,34-165,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,17,28,60.7,0,13,0,0,0,4,2019-2020
Iñaki Williams,9,gh GHA,"FW,LW",25-090,84,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,1,0,13,15,86.7,0,14,3,1,1,4,2019-2020
   Larra,12,es ESP,LW,21-270,6,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,2,0,0,0,4,2019-2020
