player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,Matchweek,Season
Joselu,9,es ESP,FW,29-317,82,0,1,0,0,2,0,0,0,35,2,0,2,0.1,0.1,0.6,3,1,8,21,38.1,5,18,2,0,0,23,2019-2020
   Martin Agirregabiria,21,es ESP,CB,23-273,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,23,2019-2020
Oliver Burke,24,sct SCO,"LM,RM",22-306,70,1,0,0,0,2,2,0,0,25,1,1,0,0.5,0.5,0.0,1,0,7,14,50.0,1,20,3,4,2,23,2019-2020
   Édgar Méndez,16,es ESP,"RM,LM",30-036,20,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,2,0,4,8,50.0,1,6,2,4,3,23,2019-2020
Manu García,19,es ESP,CM,33-287,90,0,0,0,0,0,0,1,0,45,2,2,1,0.0,0.0,0.0,0,0,20,33,60.6,2,17,1,2,1,23,2019-2020
Víctor Camarasa,10,es ESP,CM,25-255,90,0,0,0,0,1,0,0,0,31,1,1,0,0.0,0.0,0.1,1,0,15,24,62.5,2,23,0,1,0,23,2019-2020
Aleix Vidal,18,es ESP,"RM,LM",30-170,90,0,1,0,0,0,0,1,0,30,0,0,1,0.0,0.0,0.4,2,1,16,22,72.7,6,16,2,2,1,23,2019-2020
Ljubomir Fejsa,15,rs SRB,DM,31-177,45,0,0,0,0,0,0,0,0,17,0,0,1,0.0,0.0,0.0,0,0,14,15,93.3,1,9,0,0,0,23,2019-2020
   Lucas Pérez,7,es ESP,FW,31-150,45,1,0,0,0,1,1,0,0,11,0,0,0,0.5,0.5,0.1,2,0,6,7,85.7,2,9,1,1,0,23,2019-2020
Rubén Duarte,3,es ESP,LB,24-112,90,0,0,0,0,1,0,0,0,69,2,1,1,0.0,0.0,0.0,0,0,37,51,72.5,6,23,1,0,0,23,2019-2020
Lisandro Magallán,6,ar ARG,CB,26-133,90,0,0,0,0,1,1,0,0,54,0,0,0,0.1,0.1,0.0,1,1,29,43,67.4,2,22,0,1,1,23,2019-2020
Víctor Laguardia,5,es ESP,CB,30-094,90,0,0,0,0,0,0,0,0,36,1,0,0,0.0,0.0,0.0,1,0,19,28,67.9,0,14,0,1,0,23,2019-2020
Ximo Navarro,23,es ESP,RB,30-015,90,0,0,0,0,1,1,1,0,47,1,1,0,0.0,0.0,0.1,1,0,23,35,65.7,1,20,0,0,0,23,2019-2020
