Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Matchweek,Season
Youssef En-Nesyri,26,ma MAR,FW,22-175,90,1,0,0,0,3,2,0,0,29,0,2,3,0.2,0.2,0.0,0,0,8,14,57.1,1,18,2,1,0,14,2019-2020
Martin Braithwaite,7,dk DEN,LM,28-171,90,0,0,0,0,1,0,0,0,21,1,1,1,0.0,0.0,0.0,3,0,6,8,75.0,2,15,1,0,0,14,2019-2020
Rubén Pérez,21,es ESP,CM,30-211,90,0,0,0,0,1,1,0,0,59,1,4,3,0.0,0.0,0.0,2,1,27,43,62.8,8,30,1,1,0,14,2019-2020
Roque Mesa,6,es ESP,CM,30-169,82,0,1,0,0,2,1,1,0,31,1,1,2,0.1,0.1,0.0,2,1,16,19,84.2,2,22,0,3,2,14,2019-2020
   Guido Carrillo,18,ar ARG,CM,28-182,8,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,2,0,0,0,14,2019-2020
Óscar Rodríguez Arnaiz,27,es ESP,RM,21-148,60,0,0,0,0,1,0,0,0,30,1,3,0,0.0,0.0,0.0,1,0,17,21,81.0,0,20,0,2,0,14,2019-2020
   Javier Eraso,17,es ESP,RM,29-246,30,0,0,0,0,1,0,0,0,9,0,1,0,0.1,0.1,0.0,0,0,2,4,50.0,0,4,0,0,0,14,2019-2020
Jonathan Silva,5,ar ARG,LB,25-147,90,0,0,0,0,0,0,0,0,36,2,2,1,0.0,0.0,0.1,1,0,13,23,56.5,1,13,2,2,0,14,2019-2020
Dimitris Siovas,22,gr GRE,CB,31-068,90,0,0,0,0,0,0,0,0,31,3,0,1,0.0,0.0,0.0,0,0,13,25,52.0,0,14,1,0,0,14,2019-2020
Kenneth Omeruo,4,ng NGA,CB,26-037,82,0,0,0,0,0,0,0,0,18,1,3,1,0.0,0.0,0.0,0,0,2,4,50.0,0,3,0,0,0,14,2019-2020
   Rodrigo Tarín,15,es ESP,CB,23-141,8,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,14,2019-2020
Unai Bustinza,3,es ESP,CB,27-294,90,0,0,0,0,0,0,0,0,30,0,1,1,0.0,0.0,0.1,1,0,17,25,68.0,2,13,0,0,0,14,2019-2020
Roberto Rosales,16,ve VEN,RB,31-003,90,0,0,0,0,0,0,0,0,33,3,0,1,0.0,0.0,0.0,1,0,17,26,65.4,0,14,1,1,1,14,2019-2020
Iván Cuéllar,1,es ESP,GK,35-180,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,11,34,32.4,0,16,0,0,0,14,2019-2020
Youssef En-Nesyri,26,ma MAR,FW,22-175,90,1,0,0,0,3,2,0,0,29,0,2,3,0.2,0.2,0.0,0,0,8,14,57.1,1,18,2,1,0,14,2019-2020
Martin Braithwaite,7,dk DEN,LM,28-171,90,0,0,0,0,1,0,0,0,21,1,1,1,0.0,0.0,0.0,3,0,6,8,75.0,2,15,1,0,0,14,2019-2020
Rubén Pérez,21,es ESP,CM,30-211,90,0,0,0,0,1,1,0,0,59,1,4,3,0.0,0.0,0.0,2,1,27,43,62.8,8,30,1,1,0,14,2019-2020
Roque Mesa,6,es ESP,CM,30-169,82,0,1,0,0,2,1,1,0,31,1,1,2,0.1,0.1,0.0,2,1,16,19,84.2,2,22,0,3,2,14,2019-2020
   Guido Carrillo,18,ar ARG,CM,28-182,8,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,2,0,0,0,14,2019-2020
Óscar Rodríguez Arnaiz,27,es ESP,RM,21-148,60,0,0,0,0,1,0,0,0,30,1,3,0,0.0,0.0,0.0,1,0,17,21,81.0,0,20,0,2,0,14,2019-2020
   Javier Eraso,17,es ESP,RM,29-246,30,0,0,0,0,1,0,0,0,9,0,1,0,0.1,0.1,0.0,0,0,2,4,50.0,0,4,0,0,0,14,2019-2020
Jonathan Silva,5,ar ARG,LB,25-147,90,0,0,0,0,0,0,0,0,36,2,2,1,0.0,0.0,0.1,1,0,13,23,56.5,1,13,2,2,0,14,2019-2020
Dimitris Siovas,22,gr GRE,CB,31-068,90,0,0,0,0,0,0,0,0,31,3,0,1,0.0,0.0,0.0,0,0,13,25,52.0,0,14,1,0,0,14,2019-2020
Kenneth Omeruo,4,ng NGA,CB,26-037,82,0,0,0,0,0,0,0,0,18,1,3,1,0.0,0.0,0.0,0,0,2,4,50.0,0,3,0,0,0,14,2019-2020
   Rodrigo Tarín,15,es ESP,CB,23-141,8,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,14,2019-2020
Unai Bustinza,3,es ESP,CB,27-294,90,0,0,0,0,0,0,0,0,30,0,1,1,0.0,0.0,0.1,1,0,17,25,68.0,2,13,0,0,0,14,2019-2020
Roberto Rosales,16,ve VEN,RB,31-003,90,0,0,0,0,0,0,0,0,33,3,0,1,0.0,0.0,0.0,1,0,17,26,65.4,0,14,1,1,1,14,2019-2020
Iván Cuéllar,1,es ESP,GK,35-180,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,11,34,32.4,0,16,0,0,0,14,2019-2020
Loren Morón,16,es ESP,FW,25-328,80,0,0,0,0,1,0,0,0,16,1,1,0,0.2,0.2,0.0,1,0,7,9,77.8,2,7,3,3,2,14,2019-2020
   Alfonso Pedraza,6,es ESP,LB,23-228,10,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,7,7,100.0,3,7,0,1,0,14,2019-2020
Joaquín,17,es ESP,"LM,RM",38-125,90,1,0,0,0,1,1,0,0,67,1,1,0,0.3,0.3,0.6,11,1,53,63,84.1,9,54,11,1,0,14,2019-2020
Andrés Guardado,18,mx MEX,CM,33-056,90,0,0,0,0,1,0,0,0,62,1,2,0,0.0,0.0,0.1,1,0,46,54,85.2,7,40,2,1,0,14,2019-2020
Sergio Canales,10,es ESP,CM,28-280,90,1,0,0,0,6,1,0,0,78,3,0,1,0.3,0.3,0.2,9,0,58,63,92.1,6,60,4,0,0,14,2019-2020
